organism,subset,anesthetic,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,331,0.041666666666666664,7.127604166666667,2.013472222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,200.0,443,0.041666666666666664,6.8125,1.9673611111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,290.0,443,0.22916666666666666,4.479166666666667,1.3095833333333333
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,42,0.4166666666666667,3.2213541666666665,0.8811111111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,137,0.4791666666666667,2.984375,0.8461111111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,219,0.4791666666666667,3.0911458333333335,0.8769444444444444
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,290.0,42,0.125,5.018229166666667,1.3879166666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,290.0,137,0.20833333333333334,4.5859375,1.3098611111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,290.0,219,0.08333333333333333,5.3515625,1.4909722222222221
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,290.0,331,0.10416666666666667,5.078125,1.4133333333333333
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,331,0.5208333333333334,3.2864583333333335,0.8969444444444444
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,500.0,443,0.6666666666666666,2.5234375,0.7648611111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,1000.0,42,0.8541666666666666,1.765625,0.5238888888888888
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,1000.0,137,0.875,1.5494791666666667,0.48930555555555555
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,1000.0,219,0.8125,1.8411458333333333,0.5516666666666666
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,1000.0,331,0.8541666666666666,1.7890625,0.5288888888888889
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,1000.0,443,0.9166666666666666,1.1927083333333333,0.45305555555555554
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,3000.0,42,0.9791666666666666,0.8828125,0.3425
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,10.0,443,0.0,22.28125,6.940972222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,30.0,42,0.0,18.627604166666668,5.731388888888889
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,30.0,137,0.0,17.880208333333332,5.559444444444445
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,30.0,219,0.0,19.151041666666668,5.907916666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,10.0,42,0.0,21.921875,6.804166666666666
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,10.0,137,0.0,20.934895833333332,6.603055555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,10.0,219,0.0,22.002604166666668,6.885277777777778
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,10.0,331,0.0,21.5625,6.717083333333333
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,3000.0,137,1.0,0.875,0.3248611111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,3000.0,219,0.9583333333333334,1.1041666666666667,0.3688888888888889
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,3000.0,331,1.0,1.1458333333333333,0.3676388888888889
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,isoflurane,3000.0,443,1.0,0.6328125,0.3080555555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,100.0,219,0.0,12.309895833333334,3.631527777777778
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,100.0,331,0.0,11.734375,3.495138888888889
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,100.0,443,0.0,12.111979166666666,3.570972222222222
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,200.0,42,0.0,7.471354166666667,2.1215277777777777
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,30.0,331,0.0,18.356770833333332,5.659166666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,30.0,443,0.0,19.359375,5.930833333333333
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,100.0,42,0.0,11.841145833333334,3.4897222222222224
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,isoflurane,100.0,137,0.0,11.114583333333334,3.3308333333333335
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|glucl_potentiation,isoflurane,10.0,443,0.0,22.364583333333332,6.970416666666667
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|glucl_potentiation,isoflurane,30.0,42,0.0,18.903645833333332,5.816944444444444
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|glucl_potentiation,isoflurane,30.0,137,0.0,18.0390625,5.620277777777778
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|glucl_potentiation,isoflurane,30.0,219,0.0,19.447916666666668,6.001111111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|glucl_potentiation,isoflurane,30.0,331,0.0,18.713541666666668,5.769722222222223
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|glucl_potentiation,isoflurane,30.0,443,0.0,19.567708333333332,6.00375
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|glucl_potentiation,isoflurane,100.0,42,0.0,12.388020833333334,3.6505555555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|glucl_potentiation,isoflurane,100.0,137,0.0,11.3984375,3.4225
