organism,subset,compound,dose_uM,seed,quiescent_fraction,command_rate_hz,network_rate_hz
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,1000.0,331,0.0,22.21875,6.977916666666666
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,1000.0,443,0.0,23.057291666666668,7.233194444444444
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,3000.0,42,0.0,21.973958333333332,6.841388888888889
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,3000.0,137,0.0,20.2265625,6.402361111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,3000.0,219,0.0,21.606770833333332,6.789861111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,3000.0,331,0.0,20.950520833333332,6.571805555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,3000.0,443,0.0,21.973958333333332,6.876805555555555
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nca_block,hexafluoroethane,10000.0,42,0.0,20.018229166666668,6.220972222222223
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,100.0,219,0.0,19.140625,5.9286111111111115
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,100.0,331,0.0,18.356770833333332,5.689305555555555
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,100.0,443,0.0,19.549479166666668,5.995
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,300.0,42,0.0,12.963541666666666,3.877638888888889
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,300.0,137,0.0,12.333333333333334,3.7291666666666665
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,300.0,219,0.0,13.4765625,4.01875
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,300.0,331,0.0,12.578125,3.8068055555555556
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,300.0,443,0.0,12.864583333333334,3.8470833333333334
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,1000.0,42,0.041666666666666664,6.333333333333333,1.792361111111111
worm,gaba_potentiation|k2p_potentiation|complex_i_block|snare_cooperativity|nachr_antagonism,cis_12_dichloroethylene,1000.0,137,0.0625,6.1953125,1.7633333333333334
