anesthetic,cmd_rate,dose_uM,organism,perm,qf,seed
halothane,0.50875,500.0,worm,P2_config,1.0,443
halothane,0.47,500.0,worm,P2_config,1.0,331
halothane,0.2,1000.0,worm,P2_config,1.0,219
halothane,0.23625,1000.0,worm,P2_config,1.0,443
halothane,0.09,3000.0,worm,P2_config,1.0,42
halothane,0.20625,1000.0,worm,P2_config,1.0,42
halothane,0.1775,1000.0,worm,P2_config,1.0,137
halothane,0.1825,1000.0,worm,P2_config,1.0,331
halothane,0.0825,3000.0,worm,P2_config,1.0,137
halothane,0.08125,3000.0,worm,P2_config,1.0,219
halothane,0.08,3000.0,worm,P2_config,1.0,331
halothane,0.09125,3000.0,worm,P2_config,1.0,443
cis_12_dichloroethylene,19.03375,30.0,worm,P2_config,0.0,42
cis_12_dichloroethylene,18.575,30.0,worm,P2_config,0.0,443
cis_12_dichloroethylene,14.7875,100.0,worm,P2_config,0.0,42
cis_12_dichloroethylene,14.04,100.0,worm,P2_config,0.0,137
cis_12_dichloroethylene,15.095,100.0,worm,P2_config,0.0,219
cis_12_dichloroethylene,18.4175,30.0,worm,P2_config,0.0,137
cis_12_dichloroethylene,18.30875,30.0,worm,P2_config,0.0,331
cis_12_dichloroethylene,19.09625,30.0,worm,P2_config,0.0,219
cis_12_dichloroethylene,14.02375,100.0,worm,P2_config,0.0,331
cis_12_dichloroethylene,14.3425,100.0,worm,P2_config,0.0,443
cis_12_dichloroethylene,8.02,300.0,worm,P2_config,0.01,42
cis_12_dichloroethylene,7.9575,300.0,worm,P2_config,0.0,219
cis_12_dichloroethylene,7.78,300.0,worm,P2_config,0.02,331
cis_12_dichloroethylene,7.62375,300.0,worm,P2_config,0.01,443
cis_12_dichloroethylene,1.76,1000.0,worm,P2_config,0.89,137
cis_12_dichloroethylene,7.46,300.0,worm,P2_config,0.0,137
cis_12_dichloroethylene,1.82,1000.0,worm,P2_config,0.86,219
cis_12_dichloroethylene,1.93,1000.0,worm,P2_config,0.82,331
cis_12_dichloroethylene,1.91125,1000.0,worm,P2_config,0.81,42
cis_12_dichloroethylene,1.72875,1000.0,worm,P2_config,0.84,443
cis_12_dichloroethylene,0.55,3000.0,worm,P2_config,1.0,42
cis_12_dichloroethylene,0.495,3000.0,worm,P2_config,1.0,137
cis_12_dichloroethylene,0.5275,3000.0,worm,P2_config,1.0,219
cis_12_dichloroethylene,0.53125,3000.0,worm,P2_config,0.99,443
cis_12_dichloroethylene,0.27875,10000.0,worm,P2_config,1.0,42
cis_12_dichloroethylene,0.245,10000.0,worm,P2_config,1.0,219
cis_12_dichloroethylene,0.48,3000.0,worm,P2_config,1.0,331
cis_12_dichloroethylene,0.21,10000.0,worm,P2_config,1.0,331
cis_12_dichloroethylene,0.27125,10000.0,worm,P2_config,1.0,443
cis_12_dichloroethylene,0.21625,30000.0,worm,P2_config,1.0,42
cis_12_dichloroethylene,0.2225,10000.0,worm,P2_config,1.0,137
cis_12_dichloroethylene,0.17125,30000.0,worm,P2_config,1.0,137
cis_12_dichloroethylene,0.19625,30000.0,worm,P2_config,1.0,219
cis_12_dichloroethylene,0.1775,30000.0,worm,P2_config,1.0,331
trans_12_dichloroethylene,20.57625,30.0,worm,P2_config,0.0,42
trans_12_dichloroethylene,20.2975,30.0,worm,P2_config,0.0,137
trans_12_dichloroethylene,21.3725,30.0,worm,P2_config,0.0,219
cis_12_dichloroethylene,0.2125,30000.0,worm,P2_config,1.0,443
trans_12_dichloroethylene,20.62625,30.0,worm,P2_config,0.0,443
trans_12_dichloroethylene,20.45,100.0,worm,P2_config,0.0,42
trans_12_dichloroethylene,20.2975,30.0,worm,P2_config,0.0,331
trans_12_dichloroethylene,20.23125,100.0,worm,P2_config,0.0,137
trans_12_dichloroethylene,21.07875,100.0,worm,P2_config,0.0,219
trans_12_dichloroethylene,20.1425,100.0,worm,P2_config,0.0,331
trans_12_dichloroethylene,20.33125,100.0,worm,P2_config,0.0,443
trans_12_dichloroethylene,19.5275,300.0,worm,P2_config,0.0,137
trans_12_dichloroethylene,20.65625,300.0,worm,P2_config,0.0,219
trans_12_dichloroethylene,19.8375,300.0,worm,P2_config,0.0,443
trans_12_dichloroethylene,20.4775,300.0,worm,P2_config,0.0,42
trans_12_dichloroethylene,19.44375,1000.0,worm,P2_config,0.0,42
trans_12_dichloroethylene,19.08875,1000.0,worm,P2_config,0.0,137
trans_12_dichloroethylene,19.7125,1000.0,worm,P2_config,0.0,219
trans_12_dichloroethylene,18.91125,1000.0,worm,P2_config,0.0,331
trans_12_dichloroethylene,19.675,300.0,worm,P2_config,0.0,331
trans_12_dichloroethylene,19.1625,1000.0,worm,P2_config,0.0,443
trans_12_dichloroethylene,18.15,3000.0,worm,P2_config,0.0,42
trans_12_dichloroethylene,18.38,3000.0,worm,P2_config,0.0,219
trans_12_dichloroethylene,17.4475,3000.0,worm,P2_config,0.0,331
trans_12_dichloroethylene,17.73875,3000.0,worm,P2_config,0.0,443
trans_12_dichloroethylene,16.7625,10000.0,worm,P2_config,0.0,42
trans_12_dichloroethylene,17.6675,3000.0,worm,P2_config,0.0,137
trans_12_dichloroethylene,17.025,10000.0,worm,P2_config,0.0,219
trans_12_dichloroethylene,16.20125,10000.0,worm,P2_config,0.0,331
trans_12_dichloroethylene,16.56,10000.0,worm,P2_config,0.0,443
trans_12_dichloroethylene,16.45625,10000.0,worm,P2_config,0.0,137
